Date,Treatment,Eggs
Week 2,Acidic,114
Week 2,Acidic,80
Week 2,Acidic,60
Week 2,Acidic,86
Week 2,Acidic,43
Week 2,Acidic,64
Week 2,Acidic,23
Week 2,Acidic,30
Week 2,Acidic,110
Week 2,Acidic,76
Week 2,Acidic,28
Week 2,Acidic,18
Week 2,Acidic,69
Week 2,Acidic,21
Week 2,Acidic,17
Week 2,Acidic,17
Week 2,Control,26
Week 2,Control,96
Week 2,Control,90
Week 2,Control,103
Week 2,Control,39
Week 2,Control,135
Week 2,Control,31
Week 2,Control,60
Week 2,Control,41
Week 2,Control,25
Week 2,Control,23
Week 2,Control,66
Week 2,Control,75
Week 2,Control,99
Week 2,Control,109
Week 4,Acidic,75
Week 4,Acidic,165
Week 4,Acidic,78
Week 4,Acidic,106
Week 4,Acidic,56
Week 4,Acidic,110
Week 4,Acidic,177
Week 4,Acidic,96
Week 4,Acidic,22
Week 4,Acidic,48
Week 4,Acidic,86
Week 4,Acidic,77
Week 4,Acidic,9
Week 4,Control,256
Week 4,Control,152
Week 4,Control,77
Week 4,Control,225
Week 4,Control,223
Week 4,Control,158
Week 4,Control,223
Week 4,Control,178
Week 4,Control,165
Week 4,Control,215
Week 4,Control,164
Week 4,Control,201
Week 4,Control,214
Week 4,Control,185
Week 7,Acidic,346
Week 7,Acidic,608
Week 7,Acidic,380
Week 7,Acidic,408
Week 7,Acidic,372
Week 7,Acidic,355
Week 7,Acidic,296
Week 7,Acidic,383
Week 7,Acidic,313
Week 7,Acidic,315
Week 7,Acidic,326
Week 7,Acidic,340
Week 7,Control,389
Week 7,Control,271
Week 7,Control,395
Week 7,Control,197
Week 7,Control,237
Week 7,Control,382
Week 7,Control,299
Week 7,Control,323
Week 7,Control,425
Week 7,Control,300
Week 7,Control,223
Week 7,Control,558
Week 7,Control,388
Week 7,Control,523
Week 9,Acidic,282
Week 9,Acidic,414
Week 9,Acidic,312
Week 9,Acidic,310
Week 9,Acidic,237
Week 9,Acidic,336
Week 9,Acidic,279
Week 9,Acidic,234
Week 9,Acidic,307
Week 9,Acidic,220
Week 9,Acidic,341
Week 9,Acidic,238
Week 9,Control,260
Week 9,Control,265
Week 9,Control,240
Week 9,Control,412
Week 9,Control,300
Week 9,Control,399
Week 9,Control,293
Week 9,Control,319
Week 9,Control,454
Week 9,Control,469
Week 9,Control,397
Week 9,Control,382
Week 9,Control,323
Week 11,Acidic,178
Week 11,Acidic,219
Week 11,Acidic,144
Week 11,Acidic,148
Week 11,Acidic,216
Week 11,Acidic,424
Week 11,Acidic,114
Week 11,Acidic,437
Week 11,Acidic,235
Week 11,Acidic,112
Week 11,Acidic,267
Week 11,Acidic,197
Week 11,Control,235
Week 11,Control,253
Week 11,Control,222
Week 11,Control,246
Week 11,Control,304
Week 11,Control,419
Week 11,Control,307
Week 11,Control,156
Week 11,Control,101
Week 11,Control,247
Week 11,Control,305
Week 11,Control,63
Week 11,Control,293
Week 11,Control,142
Week 13,Acidic,233
Week 13,Acidic,184
Week 13,Acidic,283
Week 13,Acidic,436
Week 13,Acidic,185
Week 13,Acidic,366
Week 13,Acidic,310
Week 13,Acidic,264
Week 13,Acidic,215
Week 13,Acidic,263
Week 13,Acidic,320
Week 13,Control,287
Week 13,Control,290
Week 13,Control,36
Week 13,Control,393
Week 13,Control,211
Week 13,Control,217
Week 13,Control,186
Week 13,Control,416
Week 13,Control,264
Week 13,Control,323
Week 13,Control,186
Week 13,Control,358