Temperature,Treatment,Survival
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Control,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39,Acidic,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,1
39.5,Control,0
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,1
39.5,Acidic,0
39.5,Acidic,0
39.5,Acidic,0
40,Control,0
40,Control,0
40,Control,0
40,Control,0
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Control,1
40,Acidic,0
40,Acidic,0
40,Acidic,0
40,Acidic,0
40,Acidic,0
40,Acidic,0
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40,Acidic,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,1
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Control,0
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,1
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
40.5,Acidic,0
41,Control,1
41,Control,1
41,Control,1
41,Control,1
41,Control,1
41,Control,1
41,Control,1
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Control,0
41,Acidic,1
41,Acidic,1
41,Acidic,1
41,Acidic,1
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41,Acidic,0
41.5,Control,1
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Control,0
41.5,Acidic,1
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
41.5,Acidic,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Control,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42,Acidic,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Control,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
42.5,Acidic,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Control,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0
43,Acidic,0